Snap #	Nsnaps (direction corrected)	Time	Snap direction	Snap bond c.x	Snap bond c.y
133	133	147.645	-1	1524.8	1040.335
134	134	147.666	-1	913.353	1812.665
135	135	148.053	-1	1434.51	719.339
136	136	148.986	-1	1152.13	1810.455
137	137	165.06	-1	1502.425	140.34
138	138	166.2	-1	1327.5	1174.06
139	139	168.633	-1	886.2435	1633.465
140	140	177.111	-1	1654.085	1441.22
141	141	183.3	-1	1645.68	1417.405
142	142	185.031	-1	1589.365	454.449
143	143	186.573	-1	1733.685	1087.16
144	144	186.972	-1	1625.19	1406.765
145	145	187.518	-1	1384.285	1217.565
146	146	187.527	-1	1652.12	1433.31
147	147	187.734	-1	1391.835	837.633
148	148	188.031	-1	1647.06	1426.19
149	149	189.192	-1	280.251	1543.175
150	150	190.872	-1	1744.695	1097.975
151	151	191.253	-1	1390.62	1222.855
152	152	193.047	-1	1404.51	1221.99
153	153	195.753	-1	1008.085	1716.375
154	154	196.686	-1	615.8155	1422.815
155	155	198.78	-1	330.9905	745.0365
156	156	201.921	-1	757.169	987.5705
157	157	208.713	-1	309.452	1673.32
158	158	208.929	-1	782.894	1753.775
159	159	214.077	-1	1594.845	499.602
160	160	216.702	-1	1783.265	738.899
161	161	218.355	-1	1499.89	1727.985
162	162	219.672	-1	1014.13	891.1995
163	163	220.344	-1	1692.28	1216.1
164	164	220.641	-1	1087.9	1664.265
165	165	221.322	-1	766.298	1249.665
166	166	221.574	-1	1601.75	1589.89
167	167	222.933	-1	1139.015	1627.895
168	168	224.913	-1	1695.705	1203.6
169	169	227.247	-1	1702.815	1196.86
170	170	229.521	-1	1709.715	1187.69
171	171	233.784	-1	1710.48	1175.685
172	172	241.53	-1	1581.975	869.0825
173	173	246.246	-1	1142.235	1628.815
174	174	246.462	-1	1148.845	1648.23
175	175	247.464	-1	1572.3	872.221
176	176	257.052	-1	1557.48	905.1365
177	177	259.338	-1	1571.12	893.404
178	178	261.405	-1	1193.935	1590.975
179	179	264.585	-1	581.3955	1645.705
180	180	265.617	-1	1557.29	971.594
181	181	267.492	-1	1561.915	877.836
182	182	271.461	-1	1105.16	1081.805
183	183	273.228	-1	723.7865	886.503
184	184	275.847	-1	1748.725	1350.6
185	185	276.003	-1	1094.285	1117.495
186	186	277.818	-1	719.152	862.078
187	187	277.911	-1	1745.535	1339.895
188	188	284.112	-1	1485.135	604.1625
189	189	296.736	-1	242.4535	1115.43
190	190	305.589	-1	1657.8	1465.11
191	191	309.912	-1	1285.4	363.998
192	192	310.188	-1	1111.265	895.1175
193	193	311.967	-1	1065.6	1499.685
194	194	315.513	-1	1039.49	1505.185
195	195	317.442	-1	1804.21	152.097
196	196	318.816	-1	1643.59	906.661
197	197	320.697	-1	829.612	1810.515
198	198	325.011	-1	787.0835	1645.435
199	199	329.166	-1	1468.4	815.3125
200	200	336.162	-1	1477.18	824.4825
201	201	337.497	-1	967.254	496.7595
202	202	340.953	-1	1298.895	80.1576
203	203	341.16	-1	1414.43	1681.125
204	204	341.697	-1	1752.22	810.431
205	205	343.608	-1	1427.165	1675.4
206	206	343.845	-1	814.2395	254.7565
207	207	343.983	-1	1338.97	10.11055
208	208	344.811	-1	599.449	1713.87
209	209	346.038	-1	1436.635	1673.925
210	210	362.031	-1	731.038	275.99
211	211	367.062	-1	1296.12	1111.7
212	212	368.895	-1	1380.265	1153.94
213	213	369.042	-1	1771.425	742.3845
214	214	371.82	-1	1288.775	1100.185
215	215	372.951	-1	1753.145	757.897
