Swap #	Nswaps (direction corrected)	Timestep	Time	dTime	TimeRatio	Swap direction	X size	Y size	Surface area	-dS	-dS/S0	OLD Subavalanche #	OLD Subavalanche start	Subavalanche #	Subavalanche start	Subavalanche end	Swap bond c.x	Swap bond c.y	Swap bond c.z	Distance to previous swap	Distance to prev assoc swap	Atom1	Atom2
1	1	101061	3.183	0.000	1.00000000	-1	1863.670	1859.620	3465718.00540	-0.00000	-0.00000000	1	1	1	1		1084.51000	1849.00000	0.00000	0.00000	0.00000	35267	35409
2	2	101395	4.185	1.002	1.31479736	-1	1863.450	1859.390	3464880.29550	837.70990	0.00024171	1		4	4		532.18500	1838.29000	0.00000	552.42883	552.42883	23288	26383
3	3	101502	4.506	0.321	1.07670251	-1	1863.380	1859.330	3464638.33540	1079.67000	0.00031153	1		4			666.58000	1821.49000	0.00000	135.44097	135.44097	25679	27486
4	4	101758	5.274	0.768	1.17043941	-1	1863.230	1859.170	3464061.31910	1656.68630	0.00047802	1		4			229.02750	1849.87000	0.00000	438.47191	303.37859	25735	26533
5	5	101839	5.517	0.243	1.04607509	-1	1863.180	1859.120	3463875.20160	1842.80380	0.00053172	1		4			9.03383	1850.06500	0.00000	219.99376	219.99376	20731	22521
6	6	101907	5.721	0.204	1.03697662	-1	1863.140	1859.080	3463726.31120	1991.69420	0.00057468	1		8	8		1821.73000	1812.28500	0.00000	1813.08984	1813.08984	34908	37461
7	7	102304	6.912	1.191	1.20818039	-1	1862.920	1858.870	3462926.10040	2791.90500	0.00080558	1		1			1434.78500	1801.09500	0.00000	387.10677	353.53566	32245	38853
8	8	102382	7.146	0.234	1.03385417	-1	1862.880	1858.830	3462777.23040	2940.77500	0.00084853	1		4			308.64900	1841.14000	0.00000	1126.84777	80.09867	24387	27071
9	9	102399	7.197	0.051	1.00713686	-1	1862.870	1858.820	3462740.01340	2977.99200	0.00085927	1		4			209.94600	1795.61000	0.00000	108.69804	57.51740	25388	26708
10	10	102594	7.782	0.585	1.08128387	-1	1862.770	1858.720	3462367.85440	3350.15100	0.00096665	1		8			1795.24000	1571.21500	0.00000	1601.09656	242.52106	31544	33661
11	11	102639	7.917	0.135	1.01734773	-1	1862.750	1858.690	3462274.79750	3443.20790	0.00099350	1		1			1242.35000	1814.37000	0.00000	603.99645	161.59425	32126	34535
12	12	102668	8.004	0.087	1.01098901	-1	1862.730	1858.680	3462218.99640	3499.00900	0.00100961	1		8			1821.85000	1597.20000	0.00000	618.85625	37.19291	30298	36226
13	13	102793	8.379	0.375	1.04685157	-1	1862.670	1858.620	3461995.71540	3722.29000	0.00107403	1		8			1817.64000	1418.33000	0.00000	178.91954	154.51726	36655	37628
14	14	102876	8.628	0.249	1.02971715	-1	1862.630	1858.580	3461846.86540	3871.14000	0.00111698	1		8			1632.73500	1825.46000	0.00000	447.15176	189.45366	31629	38166
15	15	103267	9.801	1.173	1.13595271	-1	1862.450	1858.410	3461195.70450	4522.30090	0.00130487	1		8			1844.04000	1207.10000	0.00000	653.46683	212.87337	35970	36669
16	16	103289	9.867	0.066	1.00673401	-1	1862.440	1858.400	3461158.49600	4559.50940	0.00131560	1		2	2		1797.78500	506.42200	0.00000	702.20309	702.20309	11164	18547
17	17	104748	14.244	4.377	1.44359988	-1	1861.890	1857.860	3459130.95540	6587.05000	0.00190063	1		8			1778.61500	1698.90000	0.00000	1192.63208	110.50862	37522	39553
18	18	105122	15.366	1.122	1.07877001	-1	1861.760	1857.750	3458684.64000	7033.36540	0.00202941	1		8			1824.80500	1696.52000	0.00000	46.25128	46.25128	34610	39067
19	19	105235	15.705	0.339	1.02206169	-1	1861.730	1857.710	3458554.43830	7163.56710	0.00206698	1		8			1825.74500	1795.12500	0.00000	98.60948	17.62345	36319	37782
20	20	105325	15.975	0.270	1.01719198	-1	1861.700	1857.680	3458442.85600	7275.14940	0.00209918	1		2			1650.76500	138.56750	0.00000	1665.77332	396.14620	11652	13964
21	21	105400	16.200	0.225	1.01408451	-1	1861.670	1857.660	3458349.89220	7368.11320	0.00212600	1		4			458.65500	1784.37000	0.00000	2032.18900	160.38901	21191	28794
22	22	105430	16.290	0.090	1.00555556	-1	1861.660	1857.650	3458312.69900	7405.30640	0.00213673	1		1		1	1227.74000	1726.58500	0.00000	771.25278	88.99246	33090	39313
23	23	105745	17.235	0.945	1.05801105	-1	1861.570	1857.560	3457977.96920	7740.03620	0.00223331	1		8			1639.93000	1733.94500	0.00000	412.25570	91.79740	31020	36271
24	24	106108	18.324	1.089	1.06318538	-1	1861.460	1857.450	3457568.87700	8149.12840	0.00235135	1		8			1768.47500	1701.61000	0.00000	132.54950	10.49589	35522	37174
25	25	106161	18.483	0.159	1.00867714	-1	1861.440	1857.440	3457513.11360	8204.89180	0.00236744	1		8			1745.91000	1127.60500	0.00000	574.44836	126.28916	31584	31595
26	26	106166	18.498	0.015	1.00081156	-1	1861.440	1857.440	3457513.11360	8204.89180	0.00236744	1		4			555.46600	1812.99000	0.00000	1373.64825	100.95283	20967	29560
27	27	106890	20.670	2.172	1.11741810	-1	1861.240	1857.240	3456769.37760	8948.62780	0.00258204	1		3	3		1842.13500	724.90900	0.00000	1685.06302	1685.06302	11370	16541
28	28	106918	20.754	0.084	1.00406386	-1	1861.230	1857.230	3456732.19290	8985.81250	0.00259277	1		8			1728.92000	1691.00500	0.00000	972.70711	40.95197	34508	38367
29	29	106941	20.823	0.069	1.00332466	-1	1861.230	1857.220	3456713.58060	9004.42480	0.00259814	1		8			1805.02500	1789.17000	0.00000	124.21086	21.55877	30518	39750
30	30	107155	21.465	0.642	1.03083129	-1	1861.170	1857.170	3456509.08890	9208.91650	0.00265715	1		2		2	1624.46500	162.99400	0.00000	1636.16940	35.89351	16516	19054
31	31	107198	21.594	0.129	1.00600978	-1	1861.160	1857.150	3456453.29400	9264.71140	0.00267324	1		4			449.19550	1786.61000	0.00000	2004.34211	9.72110	20844	27477
32	32	107299	21.897	0.303	1.01403168	-1	1861.130	1857.130	3456360.35690	9357.64850	0.00270006	1		4			357.23700	1723.15500	0.00000	111.72691	111.72691	28406	29868
33	33	107345	22.035	0.138	1.00630223	-1	1861.120	1857.120	3456323.17440	9394.83100	0.00271079	1		4			866.24050	1707.23000	0.00000	509.25256	328.27727	24845	29043
34	34	107579	22.737	0.702	1.03185841	-1	1861.060	1857.050	3456081.47300	9636.53240	0.00278053	1		4			17.87450	1727.21000	0.00000	848.60124	339.38673	24968	28536
35	35	107589	22.767	0.030	1.00131944	-1	1861.050	1857.050	3456062.90250	9655.10290	0.00278589	1		8			1803.15000	1697.15000	0.00000	1785.52855	21.66416	32090	32781
36	36	107919	23.757	0.990	1.04348399	-1	1860.970	1856.960	3455746.85120	9971.15420	0.00287708	1		8			1733.96500	1139.74500	0.00000	561.68220	17.03122	31366	35645
37	37	108363	25.089	1.332	1.05606769	-1	1860.860	1856.850	3455337.89100	10380.11440	0.00299508	1		8			1823.82500	1519.47000	0.00000	390.21263	177.05271	33309	36608
38	38	108502	25.506	0.417	1.01662083	-1	1860.830	1856.820	3455226.36060	10491.64480	0.00302726	1		4			337.44650	1733.67500	0.00000	1501.73394	22.41282	22709	29914
39	39	108820	26.460	0.954	1.03740296	-1	1860.750	1856.740	3454928.95500	10789.05040	0.00311308	1		4			426.18700	1808.77500	0.00000	116.25354	31.94806	24852	29803
40	40	108820	26.460	0.000	1.00000000	-1	1860.750	1856.740	3454928.95500	10789.05040	0.00311308	1		3		3	1832.49500	714.06250	0.00000	1782.16095	14.51124	13509	19792
41	41	109163	27.489	1.029	1.03888889	-1	1860.660	1856.660	3454612.99560	11105.00980	0.00320425	1		8			1806.97000	1508.12000	0.00000	794.46764	20.32027	32170	38779
42	42	109621	28.863	1.374	1.04998363	-1	1860.550	1856.560	3454222.70800	11495.29740	0.00331686	1		4			969.53850	1787.05000	0.00000	882.66271	130.54390	35573	39883
43	43	109680	29.040	0.177	1.00613242	-1	1860.540	1856.540	3454166.93160	11551.07380	0.00333295	1		8			1825.17500	1756.14500	0.00000	856.19445	38.68686	34718	39994
44	44	110573	31.719	2.679	1.09225207	-1	1860.340	1856.340	3453423.55560	12294.44980	0.00354745	1		8			1785.87500	1482.73500	0.00000	276.22005	33.00602	38007	39211
45	45	110652	31.956	0.237	1.00747186	-1	1860.320	1856.320	3453349.22240	12368.78300	0.00356889	1		8			1845.72000	1757.90000	0.00000	281.59759	20.61982	32146	36684
46	46	110940	32.820	0.864	1.02703718	-1	1860.260	1856.260	3453126.22760	12591.77780	0.00363324	1		4		4	1212.70000	1633.46500	0.00000	645.13440	287.60366	33892	39513
47	47	111063	33.189	0.369	1.01124314	-1	1860.240	1856.230	3453033.29520	12684.71020	0.00366005	1		8			1632.08500	969.70750	0.00000	785.14826	198.22282	35988	38930
48	48	111079	33.237	0.048	1.00144626	-1	1860.230	1856.230	3453014.73290	12703.27250	0.00366541	1		5	5	5	1689.83500	48.23420	0.00000	923.28116	923.28116	18621	19526
49	49	111309	33.927	0.690	1.02076000	-1	1860.190	1856.180	3452847.47420	12870.53120	0.00371367	1		8			1827.33000	1530.82000	0.00000	1488.94779	11.87887	33548	38836
50	50	111558	34.674	0.747	1.02201786	-1	1860.130	1856.130	3452643.09690	13074.90850	0.00377264	1		8			1792.30500	1475.05500	0.00000	65.85200	10.01635	31486	38644
51	51	111897	35.691	1.017	1.02933033	-1	1860.060	1856.060	3452382.96360	13335.04180	0.00384770	1		8			1851.54000	1762.98500	0.00000	293.95998	7.72849	30424	37552
52	52	112402	37.206	1.515	1.04244768	-1	1859.950	1855.970	3452011.40150	13706.60390	0.00395491	1		8			1790.06000	1463.83000	0.00000	305.40711	11.44730	30132	30955
53	53	113102	39.306	2.100	1.05644251	-1	1859.810	1855.830	3451491.19230	14226.81310	0.00410501	1		8			1802.84500	1448.21500	0.00000	20.18129	20.18129	34414	37274
54	54	113478	40.434	1.128	1.02869791	-1	1859.740	1855.760	3451231.10240	14486.90300	0.00418006	1		8			1550.22500	1781.25000	0.00000	418.00619	296.41612	37113	38125
55	55	113977	41.931	1.497	1.03702330	-1	1859.640	1855.670	3450878.15880	14839.84660	0.00428190	1		8			1815.50500	1465.98500	0.00000	412.02609	21.81854	30254	37906
56	56	114151	42.453	0.522	1.01244902	-1	1859.600	1855.640	3450748.14400	14969.86140	0.00431941	1		8			1796.26500	1662.93500	0.00000	197.88754	114.30367	32610	36565
57	57	114342	43.026	0.573	1.01349728	-1	1859.570	1855.600	3450618.09200	15099.91340	0.00435694	1		8			1813.58000	1469.87000	0.00000	193.83989	4.33576	30254	38305
58	58	114543	43.629	0.603	1.01401478	-1	1859.530	1855.570	3450488.08210	15229.92330	0.00439445	1		9	9		1790.71500	720.27850	0.00000	749.94015	749.94015	15284	17907
59	59	114628	43.884	0.255	1.00584474	-1	1859.510	1855.560	3450432.37560	15285.62980	0.00441052	1		8			1835.43500	1545.55500	0.00000	826.48725	16.81699	31627	37704
60	60	114652	43.956	0.072	1.00164069	-1	1859.510	1855.550	3450413.78050	15304.22490	0.00441589	1		7	7		839.79650	1827.04000	0.00000	1034.66411	1034.66411	21986	25117
61	61	114702	44.106	0.150	1.00341250	-1	1859.500	1855.540	3450376.63000	15341.37540	0.00442661	1		8			1637.32000	1515.44000	0.00000	856.23495	160.16023	37127	38222
62	62	115136	45.408	1.302	1.02951979	-1	1859.410	1855.470	3450079.47270	15638.53270	0.00451235	1		6	6		1217.95000	1470.08500	0.00000	421.81545	421.81545	35962	38565
63	63	115146	45.438	0.030	1.00066068	-1	1859.410	1855.470	3450079.47270	15638.53270	0.00451235	1		8			1659.74500	1531.82500	0.00000	446.08816	27.77317	31543	32511
64	64	115601	46.803	1.365	1.03004093	-1	1859.320	1855.390	3449763.73480	15954.27060	0.00460345	1		10	10		1768.76500	19.70555	0.00000	1516.04439	1516.04439	14262	16548
65	65	115866	47.598	0.795	1.01698609	-1	1859.270	1855.350	3449596.59450	16121.41090	0.00465168	1		8			1794.22500	1500.94500	0.00000	1481.45824	36.60972	30639	36739
66	66	115898	47.694	0.096	1.00201689	-1	1859.260	1855.340	3449559.44840	16158.55700	0.00466240	1		9			1765.02500	379.16500	0.00000	1122.15997	342.07952	12747	17735
67	67	116173	48.519	0.825	1.01729777	-1	1859.210	1855.300	3449392.31300	16325.69240	0.00471062	1		10			1545.37500	187.44750	0.00000	291.55055	279.35722	14264	14828
68	68	116425	49.275	0.756	1.01558152	-1	1859.170	1855.260	3449243.73420	16474.27120	0.00475349	1		9			1800.72000	516.29250	0.00000	416.34133	141.69716	14414	17274
69	69	116492	49.476	0.201	1.00407915	-1	1859.160	1855.250	3449206.59000	16511.41540	0.00476421	1		6		6	923.53650	1484.80500	0.00000	1306.70094	294.78125	26921	28981
70	70	116497	49.491	0.015	1.00030318	-1	1859.160	1855.250	3449206.59000	16511.41540	0.00476421	1		8			1671.83000	1534.47000	0.00000	749.93985	12.37107	36947	39590
71	71	116503	49.509	0.018	1.00036370	-1	1859.160	1855.250	3449206.59000	16511.41540	0.00476421	1		7			768.41700	1680.60500	0.00000	915.15599	162.90562	22669	29116
72	72	116747	50.241	0.732	1.01478519	-1	1859.110	1855.210	3449039.46310	16678.54230	0.00481243	1		9			1634.36500	848.00850	0.00000	1201.28384	201.89174	13904	19112
73	73	116836	50.508	0.267	1.00531438	-1	1859.090	1855.200	3448983.76800	16734.23740	0.00482851	1		8			1842.62000	1553.83500	0.00000	735.90841	10.96278	36105	39448
74	74	117346	52.038	1.530	1.03029223	-1	1858.990	1855.120	3448649.52880	17068.47660	0.00492495	1		8			1668.33500	1536.61000	0.00000	175.13413	4.09812	36207	39590
75	75	117551	52.653	0.615	1.01181829	-1	1858.960	1855.090	3448538.10640	17179.89900	0.00495710	1		9			1788.60500	354.08250	0.00000	1188.62785	34.42598	13759	19483
76	76	117750	53.250	0.597	1.01133839	-1	1858.930	1855.060	3448426.68580	17291.31960	0.00498925	1		8			1675.69000	1801.58500	0.00000	1451.89989	265.07706	34909	36155
77	77	118061	54.183	0.933	1.01752113	-1	1858.880	1855.020	3448259.57760	17458.42780	0.00503746	1		7		7	445.26250	1681.07500	0.00000	1236.31488	323.15484	25982	28419
78	78	118103	54.309	0.126	1.00232545	-1	1858.870	1855.010	3448222.43870	17495.56670	0.00504818	1		9			1727.83000	432.78800	0.00000	1789.74854	65.26020	12515	19974
79	79	118248	54.744	0.435	1.00800972	-1	1858.850	1854.990	3448148.16150	17569.84390	0.00506961	1		10			1620.81000	239.82350	0.00000	220.65489	91.83509	13468	14886
80	80	120032	60.096	5.352	1.09776414	-1	1858.560	1854.730	3447126.98880	18591.01660	0.00536426	1		8		8	1651.37000	1543.12500	0.00000	1303.65974	18.17296	33256	38910
81	81	120205	60.615	0.519	1.00863618	-1	1858.540	1854.710	3447052.72340	18665.28200	0.00538569	1		10		10	1607.15000	346.23350	0.00000	1197.70809	107.28319	13688	14884
82	82	120267	60.801	0.186	1.00306855	-1	1858.530	1854.700	3447015.59100	18702.41440	0.00539640	1		9		9	1711.63000	450.49650	0.00000	147.60367	24.00065	19533	19631
83	83	121375	64.125	3.324	1.05467015	-1	1858.360	1854.550	3446421.53800	19296.46740	0.00556781	1		11	11		1444.43000	1115.42500	0.00000	716.60711	716.60711	33379	36051
84	84	121444	64.332	0.207	1.00322807	-1	1858.350	1854.540	3446384.40900	19333.59640	0.00557853	1		11			1708.40500	1224.22500	0.00000	285.51750	285.51750	33937	38500
85	85	122300	66.900	2.568	1.03991793	-1	1858.230	1854.420	3445938.87660	19779.12880	0.00570708	1		11		11	1179.54500	1294.08000	0.00000	533.45348	319.50223	34780	35895
86	86	122817	68.451	1.551	1.02318386	-1	1858.160	1854.350	3445678.99600	20039.00940	0.00578207	1		15	15		1175.52500	1822.56500	0.00000	528.50029	528.50029	31092	33684
87	87	122830	68.490	0.039	1.00056975	-1	1858.160	1854.350	3445678.99600	20039.00940	0.00578207	1		16	16		65.55110	1800.05000	0.00000	1110.20223	1110.20223	27753	29719
88	88	124094	72.282	3.792	1.05536575	-1	1858.000	1854.170	3445047.86000	20670.14540	0.00596417	1		16			234.34250	1549.43000	0.00000	302.16042	302.16042	25976	29440
89	89	124273	72.819	0.537	1.00742924	-1	1857.970	1854.140	3444936.49580	20781.50960	0.00599631	1		12	12	12	1647.80000	472.20650	0.00000	1777.15294	1777.15294	19118	19858
90	90	125281	75.843	3.024	1.04152762	-1	1857.830	1854.020	3444453.97660	21264.02880	0.00613553	1		13	13	13	665.30600	1505.52500	0.00000	1425.84767	1425.84767	20779	27787
91	91	125665	76.995	1.152	1.01518927	-1	1857.790	1853.970	3444286.92630	21431.07910	0.00618373	1		15			1192.87500	1799.75000	0.00000	604.06738	28.66264	38497	38543
92	92	126029	78.087	1.092	1.01418274	-1	1857.740	1853.930	3444119.91820	21598.08720	0.00623192	1		14	14	14	1567.37500	885.69050	0.00000	987.80313	987.80313	14588	17072
93	93	126465	79.395	1.308	1.01675055	-1	1857.690	1853.870	3443915.76030	21802.24510	0.00629083	1		19	19		1592.45500	1549.11000	0.00000	663.89339	663.89339	36421	38172
94	94	126778	80.334	0.939	1.01182694	-1	1857.650	1853.830	3443767.29950	21950.70590	0.00633367	1		16			101.70050	1827.54500	0.00000	1516.53389	308.12636	27240	28346
95	95	127020	81.060	0.726	1.00903727	-1	1857.620	1853.800	3443655.95600	22062.04940	0.00636579	1		16			28.90640	1237.60500	0.00000	594.41415	373.41508	23224	25444
96	96	127047	81.141	0.081	1.00099926	-1	1857.620	1853.800	3443655.95600	22062.04940	0.00636579	1		19			1253.83500	1368.21000	0.00000	1231.87164	383.91186	33831	39340
97	97	127180	81.540	0.399	1.00491737	-1	1857.600	1853.780	3443581.72800	22136.27740	0.00638721	1		16			20.16485	1363.75000	0.00000	1233.67821	126.44752	22830	27945
98	98	127889	83.667	2.127	1.02608536	-1	1857.520	1853.700	3443284.82400	22433.18140	0.00647288	1		15		15	1212.27500	1797.64500	0.00000	1268.61794	19.51387	30610	37510
99	99	127996	83.988	0.321	1.00383664	-1	1857.500	1853.680	3443210.60000	22507.40540	0.00649430	1		16			88.56445	1812.41000	0.00000	1123.80755	20.04056	20475	22474
100	100	128099	84.297	0.309	1.00367910	-1	1857.490	1853.670	3443173.48830	22544.51710	0.00650501	1		19			1597.41000	1557.17000	0.00000	1530.28179	9.46127	34578	36942
101	101	128184	84.552	0.255	1.00302502	-1	1857.480	1853.660	3443136.37680	22581.62860	0.00651571	1		19			1596.49000	1307.88000	0.00000	249.29170	241.26374	37095	38659
102	102	128464	85.392	0.840	1.00993471	-1	1857.450	1853.630	3443025.04350	22692.96190	0.00654784	1		17	17	17	1232.91000	493.87350	0.00000	891.51388	891.51388	17001	17869
103	103	129235	87.705	2.313	1.02708685	-1	1857.360	1853.520	3442653.90720	23064.09820	0.00665493	1		16			78.12665	1809.23500	0.00000	1750.34296	10.91001	20869	29929
104	104	130227	90.681	2.976	1.03393193	-1	1857.250	1853.410	3442245.72250	23472.28290	0.00677270	1		19			943.54550	1348.40500	0.00000	980.46625	310.92091	36325	37225
105	105	130319	90.957	0.276	1.00304364	-1	1857.230	1853.400	3442190.08200	23527.92340	0.00678876	1		16		16	46.45625	1762.08500	0.00000	987.87664	56.79909	20866	25143
106	106	130339	91.017	0.060	1.00065965	-1	1857.230	1853.400	3442190.08200	23527.92340	0.00678876	1		18	18	18	1713.82000	78.55510	0.00000	2369.46720	2369.46720	12116	12538
107	107	130558	91.674	0.657	1.00721843	-1	1857.210	1853.370	3442097.29770	23620.70770	0.00681553	1		19			1674.45500	1608.68000	0.00000	1530.63118	92.67800	33500	39031
108	108	131457	94.371	2.697	1.02941946	-1	1857.100	1853.280	3441726.28800	23991.71740	0.00692258	1		19		19	1008.39000	1034.47500	0.00000	879.40546	320.55710	30643	36088
109	109	134185	102.555	8.184	1.08672156	-1	1856.790	1852.980	3440594.73420	25123.27120	0.00724908	1		20	20	20	1431.83500	1724.71000	0.00000	809.77159	809.77159	38333	38496
110	110	134378	103.134	0.579	1.00564575	-1	1856.770	1852.960	3440520.53920	25197.46620	0.00727049	1		21	21	21	957.43400	1554.79500	0.00000	503.91211	503.91211	33313	37363
111	111	134550	103.650	0.516	1.00500320	-1	1856.750	1852.950	3440464.91250	25253.09290	0.00728654	1		22	22		496.36250	1701.95000	0.00000	483.98504	483.98504	24035	24621
112	112	135153	105.459	1.809	1.01745297	-1	1856.690	1852.890	3440242.33410	25475.67130	0.00735076	1		23	23		1477.18500	1163.28500	0.00000	1119.00525	1119.00525	31094	31963
113	113	135850	107.550	2.091	1.01982761	-1	1856.620	1852.810	3439964.10220	25753.90320	0.00743104	1		22			486.88000	1694.77500	0.00000	1123.91531	11.89111	25524	27988
114	114	136635	109.905	2.355	1.02189679	-1	1856.540	1852.730	3439667.35420	26050.65120	0.00751667	1		23			1735.97500	1088.22000	0.00000	1388.57743	269.45690	38772	39408
115	115	136964	110.892	0.987	1.00898048	-1	1856.510	1852.700	3439556.07700	26161.92840	0.00754878	1		23			1618.71000	1182.22500	0.00000	150.29311	142.78673	35455	38977
116	116	137095	111.285	0.393	1.00354399	-1	1856.500	1852.680	3439500.42000	26217.58540	0.00756484	1		23			1467.21500	1155.01500	0.00000	153.91920	12.95352	35244	35380
117	117	137976	113.928	2.643	1.02374983	-1	1856.410	1852.590	3439166.60190	26551.40350	0.00766116	1		22		22	454.92200	1681.78500	0.00000	1141.15019	34.49716	29321	29900
118	118	138467	115.401	1.473	1.01292922	-1	1856.360	1852.540	3438981.15440	26736.85100	0.00771466	1		23			1746.90000	1099.05000	0.00000	1417.31691	15.38325	33738	39236
119	119	138544	115.632	0.231	1.00200172	-1	1856.350	1852.540	3438962.62900	26755.37640	0.00772001	1		23			1542.84000	1361.05500	0.00000	332.09502	194.25866	38262	39667
120	120	139148	117.444	1.812	1.01567040	-1	1856.290	1852.480	3438740.09920	26977.90620	0.00778422	1		23			1384.59500	931.28800	0.00000	457.97506	238.49494	18486	39891
121	121	139218	117.654	0.210	1.00178809	-1	1856.280	1852.470	3438703.01160	27014.99380	0.00779492	1		23			1548.38500	1351.22000	0.00000	450.74388	11.29045	37602	38791
122	122	140631	121.893	4.239	1.03602937	-1	1856.150	1852.330	3438202.32950	27515.67590	0.00793939	1		23		23	1480.56500	820.71650	0.00000	534.82101	146.41140	11265	13122
123	123	143737	131.211	9.318	1.07644409	-1	1855.860	1852.040	3437126.95440	28591.05100	0.00824968	1		24	24	24	1058.39000	705.66900	0.00000	437.57017	437.57017	13340	13676
124	124	143919	131.757	0.546	1.00416124	-1	1855.840	1852.030	3437071.35520	28646.65020	0.00826572	1		25	25	25	390.04450	1747.54500	0.00000	1237.81715	1237.81715	26793	28105
125	125	144017	132.051	0.294	1.00223138	-1	1855.830	1852.020	3437034.27660	28683.72880	0.00827642	1		26	26	26	717.77200	1453.56000	0.00000	440.26412	440.26412	23752	24991
126	126	147468	142.404	10.353	1.07840153	-1	1855.520	1851.720	3435903.49440	29814.51100	0.00860269	1		27	27		1835.19500	1652.66500	0.00000	1135.02289	1135.02289	31370	36541
127	127	148110	144.330	1.926	1.01352490	-1	1855.450	1851.660	3435662.54700	30055.45840	0.00867222	1		27			1814.47000	1656.37000	0.00000	21.05357	21.05357	37876	38181
128	128	148390	145.170	0.840	1.00582000	-1	1855.430	1851.640	3435588.40520	30129.60020	0.00869361	1		30	30		1669.09500	905.87450	0.00000	764.44580	764.44580	19568	19623
129	129	148458	145.374	0.204	1.00140525	-1	1855.420	1851.640	3435569.88880	30148.11660	0.00869895	1		30			1434.59000	719.36350	0.00000	299.63135	299.63135	18205	18267
130	130	148541	145.623	0.249	1.00171282	-1	1855.410	1851.630	3435532.81830	30185.18710	0.00870965	1		27			1808.67500	1668.35500	0.00000	1020.06101	13.31248	30718	35812
131	131	148823	146.469	0.846	1.00580952	-1	1855.390	1851.610	3435458.67790	30259.32750	0.00873104	1		27		27	1835.62500	1662.42500	0.00000	27.59470	9.76947	35571	36887
132	132	148943	146.829	0.360	1.00245786	-1	1855.370	1851.600	3435403.09200	30314.91340	0.00874708	1		28	28		913.44300	1812.78000	0.00000	934.35875	934.35875	21287	28339
133	133	150053	150.159	3.330	1.02267944	-1	1855.260	1851.500	3435013.89000	30704.11540	0.00885938	1		30			1581.31000	1115.48500	0.00000	965.53956	227.25045	30973	38618
134	134	150739	152.217	2.058	1.01370547	-1	1855.210	1851.440	3434810.00240	30908.00300	0.00891821	1		28			1130.81500	1570.25000	0.00000	640.12261	325.68603	31823	37392
135	135	151886	155.658	3.441	1.02260589	-1	1855.100	1851.340	3434420.83400	31297.17140	0.00903050	1		30			1524.62500	1040.23000	0.00000	660.30865	94.21520	30160	38717
136	136	152877	158.631	2.973	1.01909956	-1	1855.020	1851.260	3434124.32520	31593.68020	0.00911606	1		28		28	1152.02500	1810.22500	0.00000	855.40812	240.91049	35833	39443
137	137	153418	160.254	1.623	1.01023129	-1	1854.980	1851.220	3433976.07560	31741.92980	0.00915883	1		29	29	29	140.75100	1421.89500	0.00000	1083.27065	1083.27065	24510	26313
138	138	154169	162.507	2.253	1.01405893	-1	1854.920	1851.160	3433753.70720	31964.29820	0.00922299	1		30			1327.56500	1174.15000	0.00000	1212.39641	238.25870	33403	36076
139	139	156124	168.372	5.865	1.03609075	-1	1854.770	1851.000	3433179.27000	32538.73540	0.00938874	1		30		30	1453.70000	1375.11000	0.00000	237.26559	237.26559	35057	35817
140	140	159302	177.906	9.534	1.05662462	-1	1854.510	1850.760	3432252.92760	33465.07780	0.00965603	1		32	32		1502.13500	140.33000	0.00000	1235.72958	1235.72958	11606	19873
141	141	160274	180.822	2.916	1.01639068	-1	1854.440	1850.690	3431993.56360	33724.44180	0.00973087	1		31	31	31	1391.99500	837.74800	0.00000	706.06139	706.06139	13012	16291
142	142	160982	182.946	2.124	1.01174636	-1	1854.390	1850.640	3431808.30960	33909.69580	0.00978432	1		32		32	1589.40500	454.44400	0.00000	431.15272	326.01175	17149	18377
143	143	161818	185.454	2.508	1.01370896	-1	1854.330	1850.570	3431567.46810	34150.53730	0.00985381	1		33	33		886.09150	1633.15500	0.00000	1372.59226	1372.59226	20916	29867
144	144	162349	187.047	1.593	1.00858973	-1	1854.290	1850.540	3431437.81660	34280.18880	0.00989122	1		34	34	34	331.04950	745.12350	0.00000	1047.22088	1047.22088	4844	6634
145	145	162733	188.199	1.152	1.00615888	-1	1854.260	1850.510	3431326.67260	34391.33280	0.00992329	1		41	41		1653.80500	1440.99500	0.00000	1494.63014	1494.63014	34095	34890
146	146	164029	192.087	3.888	1.02065898	-1	1854.170	1850.420	3430993.25140	34724.75400	0.01001950	1		41			1645.39500	1417.22500	0.00000	25.21390	25.21390	32305	37360
147	147	164626	193.878	1.791	1.00932390	-1	1854.120	1850.380	3430826.56560	34891.43980	0.01006759	1		33		33	1008.14000	1716.45500	0.00000	704.01174	147.76578	37328	37961
148	148	165243	195.729	1.851	1.00954724	-1	1854.070	1850.340	3430659.88380	35058.12160	0.01011569	1		41			1624.97000	1406.59500	0.00000	690.28434	23.02558	37298	39520
149	149	165294	195.882	0.153	1.00078169	-1	1854.060	1850.330	3430622.83980	35095.16560	0.01012638	1		41			1651.90500	1433.15000	0.00000	37.82410	8.07180	31560	33599
150	150	165457	196.371	0.489	1.00249640	-1	1854.050	1850.320	3430585.79600	35132.20940	0.01013707	1		41			1646.84500	1426.03000	0.00000	8.73487	8.73487	30972	37661
151	151	168740	206.220	9.849	1.05015506	-1	1853.800	1850.100	3429715.38000	36002.62540	0.01038822	1		41			1500.15000	1728.29500	0.00000	335.98148	335.98148	31082	37804
152	152	168995	206.985	0.765	1.00370963	-1	1853.780	1850.080	3429641.30240	36076.70300	0.01040959	1		36	36		1383.88500	1217.25000	0.00000	524.10356	524.10356	36980	39552
